body,date,location
"In year 8 I was friends with this boy in my year and started spending more and more time with him. I was skipping sports training to be with him. We often hung out in one of the rooms in music block because there was no one there. It never felt weird in the beginning and the conversations we had were pretty normal. However, one time we were up there and he started pushing up against me and not letting me move. He slid his hands down my pants and started fingering me. At the time I don’t think I objected but I believe I was too scared to do so, so I just let it happen. After that day, he told everyone in my year and people started calling me names and calling me ‘easy’. It had given me a horrible reputation and it wasn’t anything like me. To this day I have tried to speak up to someone about it but it’s like a dark secret I’m too scared to talk about.",,
"""When I was 13 in science class, one of the boys in my class grabbed my ass and proceeded to say something about me. I felt extremely uncomfortable and called him out. He acted like I was overreacting and no one else did anything. Not even the teacher.,""In September, I was crying outside an outdoor classroom with my head in my hands alone. I noticed someone come up behind me and hug me, I panicked and froze. I looked up to realise it was a boy from my class (known to behave inappropriately to girls) and he grabbed my boob and gave me this horrific smile (as if I’d satisfied him). I ran off and he got away with it.",,
I was waiting in the lunch queue and my family friends's friends were standing behind me. They told me about how my family friend said that he had sex with me everyday and then started chased me around school trying to touch me. This was when I was in yr 4. I told a teacher but they told me that it was just for fun and told me to shrug it off. I felt uncomfortable with that family friend whenever I saw them after that incident.,,
I was catcalled by a group of girls on a dark unlit road. Men can be victims too!,,
Last summer me and my boyfriend (ex boyfriend now) were having sex and we had done anal twice in the past we had a year relationship anyway while we were having sex he kept asking to do anal he was practically begging for it and I kept saying no I didn’t want to over and over and he said why and I said because I’m not in the mood to do it I was too scared to tell him I hated doing it. He kept asking it didn’t matter what I said. It took until I cried for him to finally stop asking and we finally stopped having sex for a bit but then the minute I stopped crying we just had sex again. And I don’t think he ever understood how uncomfortable it made me.,,
"i was bullied and kind of sexually abused at [school name omitted by EI to preserve anonymity] by a classmate in the final year of prep school which would be either 83, 84 or 85. I had to suck his dick in the toilets. It was disgusting.",,
He goes to the same school as me. All his friends know but told me they had to ‘back their boy’. I was 15 and must have said no at least 5 times.,,
"I went to help my friend who was high. I drank a little and I helped him, and in return he sexually assaulted me while 100 people in the park watched and did nothing, including my old close friend. My other friend came and then he went on to hurt her. When i reported it to the police after, they told me it was my fault because of the dress i was wearing was above the knee and that ‘i was drinking so i was lying.’ . I haven’t been back there since.",,
"When I was twelve I was walking around with a friend - we were sitting at a picnic table when five middle aged men came up to us and began making sexual comments . At first we ignored them as there was a plastic wall separating us from them - they got louder and started banging on the wall and pressing their genitals against it, they were asking us to leave and give them head. Once they left, I ran out and was heading to the tube, one of them was waiting outside and groped me. The other four followed us to the station where we ran on to the first train that came.",,
Was incredibly drunk after a night out with a friend and he crashed at mine after. Slept in the same bed and proceeded to have to repeatedly say no and push his hands away from me as he tried to convince me to have sex because it ‘would be fun and no one has to know’. This went on easily for a couple of hours. I feel lucky that at no point did I feel in physical danger but it’s so fucked that he thought it was normal to have to spend hours to try convince a girl into sex. I’m so glad in my drunken state I was able to say no for long enough until he finally gave up. Never spoke about it again with him and we’re still sort of friends,,
I would be walking around school and this one boy would keep groping my bum sometimes gently sometimes hard. I would continually ask him to stop but he wouldn’t and he would make me very uncomfortable and I would now always be looking over my shoulder when going around because I’m worried he would do touch me.,,
"My story is certainly not as bad as some of the ones on here, but I think results in enough discomfort to warrant me writing about it. I haven't been to any parties in over a year, understandably, but when I did I used to notice occasional 'cat calling' towards me and friends. I think as a guy, this is much less intimidating, and I hate to think how it feels being subject to these things as a girl, as for the most part I am physically larger than the girl or perhaps guys making the comments in question, but it's still not particularly nice. I think a long of guys turn a blind eye to this considering they are generally rather starved of compliments, and view these comments as that - boys/men never compliment each other, at least in my experience.,I have heard comments (assumptions) like 'he is packing' in real life personally but I feel like social media, especially TikTok has amplified these over lockdown. It is nowhere near as bad as some of the other stories on here, but comments about the desirability of someones genitalia - even if made casually or without malicious intent - are more upsetting than you might realise, and I feel perhaps there would be more uproar if the roles were reversed.",,
"I trusted a boy at [school name omitted by EI to preserve anonymity] when I was young and he coerced me into sending him nudes, then took screenshots and sent them around to his friends and people at my school that he knew. I was then slut shamed for it.",,
"I was subjected to constant harassment from boys. They held up score cards out of 10 when we went in to chapel every week, used pages of porn mags and turned them into paper aeroplanes and sent them across the room to me and other girls while we were studying. Sometimes these were graphic drawings. I was a prefect in a boys' house at the age of 17 and had to get 16 year old boys into bed. This should never have been allowed. They would line up at the door and tell me to kiss their feet. I was pressured to have sex from one boyfriend who then told everyone in school that I wouldn't sleep with him. The boys in one class would drop pencils and look up our skirts so we wore long skirts. They made a petition to bring back short skirts and passed it round the class and then handed it to the teacher, who looked embarrassed, but did nothing. I hated every single minute of my time there. It was like a prison sentence with boys who just wanted sex and to degrade girls. Drugs were rife, as was witchcraft. I learned very little, except not to trust men. The worst moment was when I went to ask a male friend a homework question and over 10 other boys heard me talking and came into the room. They shut the door, barricaded it and threatened to rape me. It was only because the boy I had been talking to persuaded them to stop that they let me go. They just said, ""We could do anything to you right now and no one would know.""",,
"i had left my english class and walked down to the second level of the school, there i saw a guy who was in the same class i was currently in as me, he had approached me and cornered me in the corner of a wall and a door to a teachers bathroom in the cafeteria he was probably 2 whole feet taller than me then and was more than a 100 pounds heavier than me at the time he pushed me into the corner and grabbed my butt and pinned me against him and kicked my forehead i pushed him off of me and went to the bathroom and cried then went back to the same class with him i only ever told one person.",,
"I was in the Army. There's a constant culture of 'banter' that includes sexual innuendo and derogatory things. One night, I was sexually assaulted by a senior rank. He proceeded to beg me pretty much every day to not tell anyone...'it's just a joke'...'it's a bit of banter'...'I didn't mean it'. Over a year later I broke down and told. The Royal Military Police were involved and I was interviewed for a statement. The female officer made a point of asking what I was wearing. I asked why that was relevant and she said she had to ask. When I read through the statement, she had written that I was wearing 'a low cut top'. There was nothing I could do. When it was all over I was told the outcome after chasing it myself. I was told 'I should be grateful they're even telling me because they don't have to'. They also then told me to stop talking about it because 'the guy had been through enough'. Turned out he basically just got told that he was a naughty boy and to not do it again. Justice right there!",,
"When I was a fresher I met a final year student in an event one night. He offered to walk me home and then forced himself on me when we got to the front door. After a struggle, I pushed him away and got inside. He came back every night for at least a month. He would be sat waiting for me at all times of the day and night. In the end I stopped going home and spent the rest of the year sleeping on friends’ floors and sofas.",,
"When I was in year 5 the boy sitting next to me would touch my bottom over my pinafore and make sexual jokes about it to his friend, it really scared me but no one noticed and I thought it was a normal thing as I saw other girls being subject to similar things.",,
"When walking home from school age of 14, 2 boys I didn't know (not in school uniform) started chatting to me and walking along side me. I asked them to leave me alone but they didn't. They both started grabbing my boobs, in broad daylight, in the centre of Reading. It was the 1st time a male ever touched me and I felt dirty and like I had done something wrong. I've never told anyone until writing this out.",,
"A guy made sexual jokes, including those about slapping me in the face with his penis, and relentlessly intimidated me from the moment I joined in Sixth Form. He found it funny, even though I had told him I was uncomfortable and had asked him to stop. Eventually, it culminated in him slapping me on my arse and me reporting him. He was suspended, but the school did nothing to protect me from the social consequences of causing his suspension. A number of the boys in my year thought I was wrong to report it and that his behaviour had just been ’banter’. Boys would come up to me and ask me why I reported him and made me feel like I had made the wrong decision to report his sexual harassment. Ultimately, I was ostracised and was therefore stunted in my ability to make friends during my time there. Much worse things happened to other girls in my year which went unreported and unpunished. There was no education about consent, combatting rape culture, or any attempt to teach the boys that a lot of their 'banter' was incredibly harmful. I expected a better environment from such well-respected school, but a lot of the boys seemed to be incredibly misogynistic while the school remained practically silent on the issue.",,
"I'm currently 13. I was first cancelled when I was 7. It became a regular thing and I never had the courage to speak up about it. Men as old as 70 would say things to me like ""damn"" or ""pull ur skirt down a little there love."" Last year I was raped by a 15 year old. I was 12. I didn't tell anyone and I still haven't to this day. My mental health has never been the best but after I was raped, my confidence and self esteem has completely gone done. It still haunts me to this day and I find it very hard to talk about.",,
They took me to the toilets and raped my ass and made me bleed,,
I was 26 when I was raped by my boyfriend’s friend. He came into his bedroom one morning after my boyfriend had gone to work and got into bed with me. I told him I was naked in bed and he said that was why he was there. I repeatedly asked him to leave me alone but he told me I should feel lucky because he had “such a big dick”. After repeated attempts to stop him I eventually lay there and let it happen. Afterwards I felt shaken and ashamed and was covered in blood. I hide what had happened from my boyfriend by changing the bed sheets and taking them and a towel away with me. I went home and sat on the floor of the shower for hours. It wasn’t until a few days later that I fully appreciated what had happened and it wasn’t until then that I understood why women so often don’t report rape. My mental health has never been the same and I often have traumatic flashbacks. I have never told anyone about it.,,
"there has been multiple times boys have harassed me and looked up other girls skirts the school was aware , the male or teacher used to walk into the girls changing rooms whilst we was getting changed too.",,
"When I was walking home from school, I was approached by a girl whose group of friends were behind her. She came up and asked if her friend could suck my d***. I wasn’t hurt by this but instead would like to point out how messed up this is. In society, if a boy makes a comment like this, it’s sexual harassment, but if a girl makes the comment, it’s a joke. Let’s say we flipped the situation and I went up to a girl and asked to grab her breasts. It’s not impossible that I would no longer be free man and females feel as though they are able to get away with things like this and that’s just stupid. Our society has made me feel uncomfortable to walk behind girls in fear of being thought of as a stalker or a creep and I either slow down or cross the road. We need to erase not only rape culture but the act of passing it off as a joke if a guy is raped or a girl makes sexual advances on him without his consent. Why are only girls taken seriously but if a guy tells someone either the girl was joking or you must have enjoyed. NO. Guys need to give consent . Just because we are a guy or have a penis doesn’t mean that gives you automatic consent. And it’s not only society. UK law states that rape is penetration and that is so gendered. Guys have been affected by this but they are too afraid to respond to an opportunity because society has played it off as a joke for so long and completely ignored any rape claims by guys and this needs to stop. This is a call to all guys who have a story to share as well, please do so. Thank you to everyone’s invited for allowing me to share this.",,
He made me do sexual things I had not consented to by guilting me. He threatened things that damaged my mental health if I broke up with him. He has ruined all my friendships. I don’t know how to continue.,,
"I was 19 yrs old, sat dozing on a London Underground train when a guy sat down opposite me. He pulling his coat around himself and started masturbating while starring at me. I froze and pretended to be asleep. It didn’t stop. I decided to get up, gather my bags and look like I was getting off. He followed to the doors further down. When the doors opened, I waited and he waited. At the last second I pretended to leave the train and he jumped off just as the doors closed and I stayed on. I was totally horrified and frightened. I called my mum to tell her what had happened and she told me about a time she was chased home off a bus, almost like this happens to every woman. Worst part is, I now realise people on that train must have seen what he was doing but nobody did anything to help me.",,
I was at my friends house with another girl. She went to the bathrooms to get high and it was just me and him. He got on top of me and told me to open my legs. He tried to force himself on me but my friend came back just before anything bad happened. When she asked what we were doing he just said he was giving me a hug. It wasn’t ok.,,
Someone at this school kept harassing me to send them nudes and blocked me when i didn’t.,,
"i was at a football game and this boy came onto me and he kept asking me to kiss him and when i had said no i felt unsafe like he was going to hurt me so i texted my mom and i had her pick me up, he then started a rumor that he walked me home and we had sex",,
"In response to the latest spiking horrors. I am now 49 and have not been to a club in many years, however, when I did, I had my drink spiked twice. Once by a so called friend, the second time by God know who. Both times I had had very little to drink. First time I was left on the pavement outside the club for hours until the minibus arrived. The second time, I knew really quickly something was very wrong and called a taxi I used regularly. Luckily he got me home safely, where my husband found me unconscious on the bathroom floor. I have been driving longer than I ever was clubbing and have never had a car accident, so this is not rare, it is often it was always a problem, it is still a MASSIVE problem and it is terrifying. I got medical advice the first time, not the second, I did not report it as both times I was treated like I was blind drunk, which I was not. I do wonder how many of these never get reported. Ladies and young ladies, please can we speak up, we need this on record, on this site if there is no point going to the police.",,
"I’m a boy and this girl added me on snap. i didn’t know her at all and didn’t wanna talk to her. we started talking and i thought she was rly pretty. she then sent me pics of herself and i didn’t want them, i had never met her but only knew what she looked like. she then begged me for nudes and then when i said no, would say ‘oh you don’t think i’m fit then’ or just be really aggressive and make me feel bad. i blocked her but it’s rly sad to see.",,
"I was about 14/15. I was walking down the hallway at the end of the school day minding my business, listening to music and texting my friends. I wasn’t being fully aware of my surroundings, but I saw this one boy walk by me pretty fast. We both ended up going down the same flight of stairs. I noticed that he had stopped at the bottom of the stairs, so I assumed he was waiting on someone. As I was nearing the bottom but that’s whenI had a bad feeling in my stomach. As I tried to go around him he stood in my way, I’m a petite girl so I’m guessing he took his chance. He forced me against a wall and put his arm up against the wall almost in a way so I couldn’t move. He began to move his hand up and down my waist. My immediate reaction was to push him off of me and tell him no. Everyone was walking by and leaving because it was dismissal, but no one intervened to help me, even when they could here me yelling at this boy to stop and telling him no. He then saw I began to tear up and walked away smiling at me. I walked away with tears streaming down my face. I never reported it. His friends later apologized for his actions. But their words will never make up for the fear I had in that moment. I felt too embarrassed, and ashamed. I cried for months on end.",,
"Off the top of my head I can think of 3 occasions in the last year where I have had fully grown men pull over to talk to me whilst I’ve been walking on the pavement in my school uniform. On multiple occasions I’ve been asked to get in their car. This was on a main road, and after saying I don’t you, many members of the public simply ignored it, no one helped even though everyone saw.",,
"I went to a school friends party. A guy in the year above me attended. I drank and got sick. I went outside to thrown up, he followed me. Whilst I was hunched over he forced me and sexually assaulted me. This was my first sexual experience.",,
At [school name omitted by EI to preserve anonymity] I overheard multiple girls sexualising male teachers among each other and to their faces in class - imagine how that would have made them feel,,
he threatened my brother if i didn’t do anything with him i was scared i didn’t want him to get hurt i felt like i had to and no one belived me i lost everything from my dignity to my self worth,,
"a boy grabbed me in a bedroom and would let go of me until i gave him a kiss, i said no multiple times. i pushed him off me and cried",,
"Male teachers reporting girls that wear leggings, that are clearly covering everything, which makes it even more inappropriate because they are looking at them.",,
A boy in my year at school would repeatedly feel under my skirt while we were waiting in line for the bus after school. This started in year 8 and carried on for a few years. He would try and sit next to me or behind me on the bus as well and keep touching my legs and bum. He also asked me for nudes on social media and when I refused he blocked me but carried on trying to touch me all the time even though I kept asking him to stop. I used to go home and cry because it scared me so much and even now (4 years later) I hate getting on buses and sitting next to people I don't know because of this boy,,
when i was 13 i was asked out by this guy (who was also 13) i had recently came out as gay and he knew this i told him i didn't want to date him he then spent the next month trying to convince me to date him he told my friends i was leading him on and not giving him an answer they then spent weeks telling me to just date him non stop when they knew i was gay at the start he would message me maybe once every couple of days asking me out and i would say no by the end of the month he was asking me 50-60 times a day along with having my friends telling me to date him i gave in and dated him i knew what coercion was at this point but was nly told about it being sexual i didn't know that this was wrong until over a year later when we were told about it in school i felt very uncomfortable about the situation the whole time but i dated him so he would stop asking. non of my friends ever told me that what he was doing was wrong and openly encouraged it.,,
I was in year 6 (aged 10-11) and one lunchtime I got asked to go back to the classrooms early from lunch by I boy I barely knew in my year. He led me to the bathroom cubicles and brought me into one of the toilet stalls with him. He started ‘teaching’ me about sex and told me that we should go down on each other. This happened a few times and then he progressed to asking me to try and put myself inside him. He left the school later in that year for unknown reasons (we didn’t speak outside of the cubicles). I left at the end of that academic year. I didn’t tell anyone until I was 17. All of my closest friends know now and I am not ashamed to tell the ones I trust but it still stops me from sleeping some nights or creeps into my head when I’m having a bad day with my mental health.,,
"I was groped by a classmate when they sat next to me at least once a week, and felt like I couldn’t say anything because we were 13/14 and assumed it was something they just needed to grow out of."",After almost a year I told staff what happened which lead to an investigation but since it was deemed as consentual both parties had to be punished as cadets weren't allowed intimate relationship. I was sanctioned for a month and he was for four. The process seemed unfair as he wasn't held accountable for the actions he took, we both got into trouble and support wasn't offered to me.",,
"I was groped by boys in my year and explained stories of my sexual assault by other boys in my year only to be given a response of ""boys will be boys"" and its a ""rugby and football culture""",,
A boy at my school publicly showed a girls nudes to all the other guys around him. More and more boys kept asking to see and he showed them and they were rating her body. I told them to stop and they said that she shouldn’t have sent them to him in the first place and that it was her stupid decision.,,
"Both girls and boys would regularly take photos of other people in the class, without their consent. All of them knew it was wrong. When the boys did it , it was often posted on Snapchat , and there was so many derogatory comments about girls photos. I know for sure I've had my photo taken and shared. Knowing that there was very little I could do about it. I wish I had challenged it at the time , but it was just not that easy. There was also boys in my year , that would go behind girls backs and unclip there bras as a joke. This made me and others feel very uncomfortable, even though some of the girls laughed it off. Apparently it was ""a joke"". Not enough was done by the school, they obviously thought it was just guys larking about.In my first year , some random boy shouted over me ""what would you do if he raped you""? And he pointed to his friends, nobody around me said anything. I was just 12 at the time.",,
A teacher pulled on my mates skirt and shoved a skort up he skirt after she told him she was insecure about her thighs and didn’t want to wear a really short skort,,
"When I was 17, I had no self esteem so I was drinking away my problems, so this one day I was drinking with my brother in law, my sister and their friends. It got later and I was dancing with a few friends of friends and eventually this guy starts giving me the eye. We walk out of the gazebo, and on to the field and begin kissing. I was drunk so it escalated to what I thought at the time was fingering. I got home and literally peed out grass and blood and I was in agony. It wasnt until the next day when I sent the ""omg what happened text"" that he told me he had penetrated me. This is after a good hour of kissing and talking about how I wanted my first time to be in a bed and al that other american teen movie bs. It was only then I realised I had been raped. I locked myself in a dark room for two days and sobbed and eventually got the morning after pill. I felt so violated and as it was a first time it led to a very unhealthy view of what sex meant. It's only now 5 years later I realise what it is to be intimate and have respect for yourself during the act",,
"Once I was at a country party and I was sitting with my friend and a guy I had never met and we were on a sofa with a blanket on us and I felt a hand on my thigh and I thought it was my friend so I ignored it but then the hand started fingering me and I realised it was this guy I had literally just met doing it whilst his other arm was around my friend, so I just got up, grabbed my friend and walked away.",,
"a boy saved my explicit photos to his camera roll and then blocked me, he’s 16 and i’m 15",,
"I was around 12/13 and one of the 'popular' boys at school started messaging me. Id never been kissed or had any boys show interest in me, so was just happy that a boy was talking to me. We never used to chat at school, only message on our phones. One day he sent me a message asking me to show him my boobs. I didn't want him to stop talking to me so I did.Straight away after he asked me to sent a picture of me fully naked, I did this for the same reason I didn't want him to stop talking to me and spread gossip about me. He then asked for a photo of inside my vagina, at this point I was very uncomfortable and tried to diffuse the situation. He became more frustrated and aggressive over messages saying I needed to send him a video of me 'fingering myself' and zoom in on my genital area and if I didn't he would send all the other pictures around the school. At this point, I became very upset and confessed to my older brother what was happening and he messaged the boy to stop or he would call the police. it is fair to say the boy did spread gossip about me being a but none of the photos got shared. Reflecting back, I had not received any sex education or lessons on inappropriate photos or what to do when this happens. The whole situation made me feel very ashamed and alone. Over ten years on, I now realise I wasn't in the wrong and this was a form of sexual assault.",,
"I was walking home when I was 14 years old - it was about 7pm but it was winter so it was dark. I was walking down the road that my school is on as I know it well and feel safe there when a guy in his early 20s gets out of a car and asks me if I smoke weed. I said no and proceeded to walk. He asked me my name, I said don’t worry, he asked me how old I was, I said I was 13, one year younger to try and deter him. He said he “didn’t believe me”. It became clear to me that it didn’t really matter how old I was but he tried to clear his conscience by convincing himself I was older. I continued to walk at a fast pace and ignore him hoping he would leave me alone - I was on a fairly busy road so again had faith that he would give up if other people were watching. He continued asking me questions and asking for my number. It was when I got to the end of my road that I heard him running behind me. I turned around and showed him my phone where I said I was on the phone to my dad and to leave me alone because I wasn’t going to give him my number. It was at this point when I turned around to proceed walking that he grabbed my bum, far enough that he was next to my vagina, and squeezed. I was so shocked I slapped his hand away and ran home. It was my Dad and brother at home, my mum was away, but I didn’t tell them - I knew that if I did they would’ve gone out and beaten the shit out of him. But for some strange reason I wanted to spare him that. So I called my friend in tears and he got away with groping a 14 year old girl on her way home",,
"A guy I considered one of my closest guy friends continuously pressured me to send him pictures and sent me multiple unsolicited nudes. He would use our friendship against me and say if I didn’t send pictures we couldn’t talk anymore which felt like a a horrible ultimatum considering we were such good friends and I was so young i didn’t realise that it was wrong.,One time we stayed over after a friend’s house party (him on one sofa, me and a friend on another) when my friend went to sleep he repeatedly asked me to do bits with him saying it would be funny. I was very drunk and half asleep l, I kept saying I was too tired, I didn’t want to do anything and he kept pushing and pushing. I remember saying “I’m pretty much asleep, my eyes are closed but all I’m moving is my mouth right now to talk to you” and he said “that’s ok, all you need is to move your mouth”. I managed to kick my friend and wake her up for long enough that he stopped. I believe that if she hadn’t woken up I would have been tired and drunk enough to be worn down and just say yes. For so long after I felt uncomfortable being alone with guys, I felt I had to say yes to please guys so I wouldn’t have to go through the distress of saying no and not being listened to and that led to many other experiences in my future that had far worse consequences.",,
"I had met this boy through Instagram and we had gotten closer and liked each other. When we met for the first time we ended up going back to his house and we just chilled and talked for a while until I had to leave. From that point he had asked me to be his girlfriend in which I said yes as I liked him. We met a few more times in which we mainly were at his house and there was one occasion in which we were at my house. Every time we were together he would always want to kiss or hold hands in which to me is was weird but I just thought it was normal. But whenever we were in private he would always try to get me to suck him off or rub his d**k, he would also hump me as if he was having sex with me but we still had our clothes on, but he would always insist even on the day we met to have sex. On numerous occasions I had asked him to stop trying to dry hump me yet he continued to carry on and touch me, and ignored me every time I asked him to stop. At the time I didn’t realise what he was doing was wrong as he was my boyfriend and I thought it was normal, but later talking to my friends I realised he was in the wrong and had been sexually harassing me and trying to force me to have sex. I had dumped him before telling my friends what had happened, and I had dumped him at the time as he would take his frustration out on me and have a go at me in which I knew wasn’t right and I ended it with him. God knows what would have happened if I hadn’t had ended my relationship with him, but I’m thankful I ended it when I did to prevent anything more happening.",,
A few years ago in a nightclub I was kissing this guy and he stuck his hand up my skirt. He started fingering me really aggressively in the middle of the dance floor and I’m pretty sure other people were watching. He only grabbed me tighter when I tried to wriggle free so I disassociated and waited for it to be over. I didn’t think much of it at the time.,,
"Not of the same level as many stories here but when I was at university, I was out celebrating a friend's birthday. I turned up at the pub at the person celebrating saw me. He leaped on me, pushed me into a bush, his hands were all over me. He told me graphically what he wanted to do. I was with my boyfriend at the time so clearly wasn't interested in this guy who jumped on me. No one did anything. All the other friends laughed it off and said how much of a ""lad"" this guy was. My boyfriend was livid. I told him not to say or do anything so we didn't look like spoilsports. Everytime I saw the guy after that - he was the friend of a friend - he continued to touch me and ""flirt"" with me. I found it oo difficult to say something so I wrote to him and told him how it made me feel. He replied saying he knew I liked him and I enjoyed it really. He seemed genuinely surprised that I had an issue with him grabbing me in intimate places even though he knew I was in a relationship with someone else.",,
A male friend let it slip in year 9 that an innocent bikini photo from my Instagram had been shared to a WhatsApp group with most of the boys in the year. I felt ashamed.,,
I trusted I boy from school and he started showing and passing my nudes to other people with out my consent and they people started slut shamming me,,
"When I was 17 I went to a house party. At the end of the night I went to bed with a guy I was in a loose sexual relationship with and had consensual sex with him. Not long after he left the bedroom to go for a cigarette. 5 minutes later I thought that he had reentered the room but with it being dark I didn't realise that it wasn't him. This person proceeded to get into bed with me and began touching me which in turn led to him having full intercourse with me. I quickly realised that it was somebody else but I froze and did not know what to do. I lay quietly and waited for it to end and once he had finished he left the room without saying a word to me. I was confused and in shock and quickly dressed and left the house to go home. I cried all of the way home and felt so ashamed. The next morning a friend messaged me to congratulate me on having sex with both men. She said she didn't realise that I was such a 'dark horse slut' but thought it was awesome because other girls rarely bagged the second guy due to his high standards. Based on her reaction and the other reactions of friends in that friendship group it never crossed my mind that I had been raped. All I felt was ashamed and that I was a slut for sleeping with two men. I was so embarrassed I ended up cutting the whole friendship group off and was off sick from school for several months with what doctors thought was glandular fever but was never officially diagnosed. I know now that what was really wrong with me was I had fallen into a deep depression that prevented me from getting out of bed and functioning because I had experienced trauma and not processed it. It has been a decade since this incident and I only recently through counselling was able to see this incident for what it was. I was raped and the shame that I felt for freezing in that moment was not warranted. Being silent and taking it does not constitute as consent. But equally, the shame I experienced was a result of the culture my female friends were controlled by. The fact that they applauded me for validation from a man that had raped me (although they did not know the whole story) and called me a slut like it was a good thing was very wrong. This has stayed with me for so long and held me back in many situations because I haven't felt good about myself and believed that I was a bad person. I'm so grateful now at the age of 28 to understand what really happened that night and finally be over it. It wasn't my fault and by being silent I was protecting myself in the best way I knew how in that moment. I couldn't have known that if I had protested and said no he would or wouldn't have become violent or made a scene that ultimately resulted in other people at the party turning against me. The guy was never held to account for his actions because I remained silent out of shame. He used the experience to brag to friends labelling me as a slut. I doubt it even really crossed his mind what he had done and with everybody thinking that he was a nice guy no body would have believed it. This experience and the #not all men movement raises a lot of questions for me around consent and 'nice guys'. Experiences like this need to be told and men exposed because the education they receive on sex, consent and respecting women is not sufficient. It needs to change.",,
[school name omitted by EI to preserve anonymity] Boys share nude photos sexually assault girls make contestant sexist and awful comments and everyone knows (teachers /friends) but no one does anything because they get amazing grades and they are protected by the ideology’s of boys will be boys and protected by all adults around it - it’s not only a group of people there it’s the whole culture there.,,
"Reading the stories breaks it but heart to see how little things have moved on, I’m 46 but remember being felt up to see if I was wearing a bra, being scored, the ‘game’ arches, a particular corridor near drama where the boys would turn the light off having already identified the victim they liked who would then get ‘drapsed’ or as I now understand it sexually assaulted. The comments, the slurs, how we as girls were all pressured, cajoled, forced into doing things we didn’t want to do. 30 years on it’s all still happening, this is what Rape culture looks like.",,
Previously While being a younger teen and naive i was always use by older boys me being 13 while they’d be 19 I though this was “cool”! I never wanted to give them head but they would insist while pushing me on my knees shoving their pants off while they grabbed my head to force me to give them head and lifting my chin up to make me swallow. Many other event happened like this as a young teen but I though this was normal. Until this summer ( now 18) I was at a party heavily on mdma when I saw a friend in distress while surrounded by men in there late 20 early 30s. I went to see if she needed help she was drunk to the point of passing out. I asked her if she wanted me to grab her anything to eat this is when one of the men in their late 20s grabbed my ass with one and with the other grabbed my shoulder while pulling me in for a kiss. I was with my boyfriend at the party but he was somewhere els when this happened I instantly looked around trying to find him. Being one of the youngest in the party I felt instantly isolated scared and panicked (this didn’t help as I was on a new strange drug). My body froze and the girl in the group of men who is firstly trying to help started laughing with the other men. Finally finding my boyfriend amount the crowed of people I started crying as I told him what had happened I felt trapped started overthinking it was what I was wearing ( I had just jeans and a hoody on) I needed to leave get away I felt like running off my boyfriend calmed me down instantly made me feel safer and we kept on partying. Even he was unsure how to approach the man im grateful he didn’t. Later that night the men that surrounded me had badly beat up some of my friends to a point where their head where bleeding. I’ve never felt so trapped nervous and afraid. I though this was “normal” for too long until this summer where I understood all the times before where sexual assault. I’m still with my boyfriend who I feel safe with but I have extremely bad sleep paralysis where a man is in my room I don’t know if this is related to all the men who assaulted me but I struggle with it very offten.,,
"We were friends but hadn’t spoken for a while. when he texted me we spoke normally and then he asked me about a rumour that he heard about me loosing my virginity. he kept asking me who i lost it to and i tried to laugh it off originally but when i realised it wasn’t a joke i begged him to drop it for hours. my family is very religious, and i was struggling with my sexuality and was terrified of more people hearing about me loosing my virginity. he told me that if i didn’t tell him by a certain time he would ask around, spreading it further. he then gave me an ultimatum that either i told him who i lost it to or he would ask other people or i could send him nudes and he would leave it and not screenshot. i sent him a picture shirtless without my face in it and he took a picture of it on another device and put it on his social media. 2 years later i found out that my new boyfriend was friends with him and he told me that i shouldnt of told people what he did to me because it “gave him a bad reputation” i never lied and the only people i ever told were my friends. he showed countless people my picture. i tried everything to make it stop. i was used to being used for my body and just wanted it to go away. he knew i was uncomfortable and still manipulated me. i still have people bring it up to me. i was 15 when it happened",,
"This boy took pictures of me in sex positions without me consenting and when i confronted him he told me that he wouldn’t share it, it was only for himself which was so bs. then he told me to shut up and that i should behave otherwise he would do bad things to me and as a scared victim i just stood silent. he got angry with me trying to get him to delete the pics so he pushed me over and then said you’ll behave after this and raped me. it haunts me to this day",,
"i was 15, at a party. a boy who i didn’t know kept trying to get off with me and even though i was repeatedly saying no, he kept putting his hands up my thighs and under my skirt. i eventually escaped to go to the toilet, then rejoined the party, but it turned out he had spiked my drink, then made me go upstairs with him and raped me. i was practically unconscious, upstairs with him for over an hour, and would not have been able to get away from him myself afterwards had my friend not found me. it was my first time and i still feel the emotional effects to this day, nearly 3 years later.",,
"One night I was out with a friend it was in summer and it was still light we were going to a guy friends house on the way there this is like a 10minute walk from my house these two guys shouted out to us hey baby girls wanna come for a ride with us we are only starting highschool and these men are in their 20s it looked. They continued shouting stuff,whistling etc. We felt so violated we sprinted to my friends house and on the way home we had to walk past them again."",It concerns me that those boys felt it were okay to do that, and while a lot of them (hopefully all) will have grown up to understand that it’s okay not to hunt girls down and grab them, it scares me that for a couple behaviours like that will have been subconsciously normalised. That they’re the ones who follow girls around clubs and grab and grope without consent. That they’re the ones who maybe do worse.",,
He kept sending me creepy messages talking about what he would do to me sexually and even after i went to our head of year he did nothing and its still carrying on,,
